id,pessoa_id,nome,data_matricula,plano
NL318,65076,Everette Koepke,20170926,ouro
AOE21,39426,Noe Locascio,20171005,regular
2PN28,63823,Jeromy Heitschmidt,20180215,prata
0YJ24,80651,Waneta Wellard,20171206,ouro
3A08L,32858,Mei Bianchin,20170401,prata
6W6I2,69510,Paris Accurso,20170613,regular
5Y28Y,15218,Millicent Yessios,20180205,ouro
156A7,79701,Marcelino Leard,20180428,prata
A5N3S,24541,Mary Cameron,20170501,ouro
X0643,15247,Shondra Ledlow,20170521,prata
8T75D,86040,Shani Mcclard,20170430,prata
R440Q,37694,Jan Louthan,20170606,prata
R4J4S,13703,Lien Yasin,20170414,ouro
K055L,60785,Latisha Larzazs,20170503,regular
338FV,66842,Susanne Dubicki,20170719,ouro
401Y4,80191,Gary Hanohano,20170627,regular
DEQP8,19108,Dwight Roussel,20180108,regular
N7F6U,52425,Nick Delage,20170709,prata
Z7Y82,31477,Rigoberto Hartgrave,20170817,prata
THJ81,12344,Thaddeus Modin,20170616,regular
51SWX,92075,Keshia Llanet,20170812,regular
4TZ45,61663,Bebe Heilmann,20180417,prata
5Y85X,45746,Frederic Borsellino,20170803,regular
2Q45D,47693,Owen Caston,20170102,prata
E43E8,96742,Christian Hogue,20171014,prata
TXNSC,18044,Roberto Slot,20170510,prata
1G2F7,90543,Roger Bowling,20170511,prata
0862D,62171,Johana Dayer,20170612,ouro
1G205,31411,Toshia Sininger,20170125,prata
6071T,85645,Bea Fadei,20180223,ouro
4D5R1,87998,Richie Zerphey,20170808,regular
82GA2,20716,Roslyn Gonzaga,20170809,ouro
W83OD,17742,Danial Bzhyan,20171127,prata
12C5R,98098,Samara Decarolis,20170304,ouro
8AEAE,62617,Phung Motts,20180205,ouro
T80FG,68244,Cherilyn Raigosa,20170606,regular
0CR33,62561,Noe Elgart,20170627,ouro
4JX11,32828,Earnest Dambrose,20170831,ouro
GHDP5,78264,Heath Hosack,20171218,ouro
D8FT1,14297,Roslyn Ayer,20171022,ouro
0U51D,17301,Archie Bardwell,20170505,regular
355UU,33920,Brandi Gommer,20170117,prata
V5260,66908,Luanne Bhan,20170919,ouro
6K7I8,83198,Audria Vosburgh,20180309,ouro
KE0FH,60260,Peggy Cortes,20180420,prata
133ED,70618,Marcus Lathan,20171122,prata
2B01Y,47735,Tania Kubesh,20170417,ouro
8SJ77,12526,Fawn Lindemuth,20170820,regular
7I67C,66010,Simone Mcglinn,20170802,ouro
0F76P,55951,Ezekiel Nurnberger,20171222,regular
ZAB1A,82357,Shenna Valiente,20180307,regular
W5YVL,33243,Domonique Ballengee,20171029,regular
ITWMV,25743,Elna Reichelderfer,20170123,ouro
44VO2,86834,Aaron Larcher,20171122,ouro
07QP3,15980,Hugh Piascik,20171222,regular
D2KY6,99602,Joline Hollering,20170220,ouro
5O6SK,36413,Gordon Sixt,20170513,prata
NJ876,13989,Norma Gudroe,20170210,regular
7788A,73797,Antone Westgate,20180119,regular
GKZV7,30221,Jude Fairbairn,20170108,ouro
PEL8G,83434,Jerald Aiola,20171216,prata
T2JF2,40065,Ignacio Freistuhler,20170306,regular
43N05,15804,Laurel Diab,20170129,regular
HI1Q5,29185,Yukiko Vogelzang,20180112,prata
JQ162,11162,Dorthy Picardi,20170712,prata
402DQ,92379,Lynwood Punter,20170104,prata
33378,32162,Olen Bolar,20180324,regular
1RSYJ,62042,Clement Gidley,20171016,ouro
31A6U,28007,Magen Brach,20170425,regular
7BQKU,24145,Valda Eacret,20171207,ouro
UK1F2,28073,Zackary Cabotage,20170818,prata
NB10J,65316,Mitzi Bakerville,20170518,prata
I827Y,96987,Larraine Gamel,20170911,prata
O86WU,68360,Alex Strohmeier,20170730,ouro
30Y1F,71173,Detra Hemeyer,20180110,prata
8G0Z2,71282,Marquis Stace,20180404,ouro
OBU3O,80489,Wilma Sinstack,20170207,regular
I0UIP,49229,Madge Bernice,20170503,ouro
JY514,98128,Keith Savary,20170207,regular
E18IN,64073,Lyda Mandigo,20180316,prata
3OOJ1,62367,Concha Fiveash,20180109,regular
N36I5,83633,Stuart Moitoza,20171208,ouro
C84S4,80745,Mervin Eacret,20180108,ouro
B5F34,73608,George Cali,20171218,regular
6NAWM,53382,Myles Marushia,20170710,regular
71BOE,61721,Maximo Oliver,20170705,ouro
CGW3X,26187,Hettie Macreno,20180317,prata
03487,73490,Lyman Harshbarger,20170529,prata
7MRZ6,75743,Brain Puthoff,20180212,prata
72H2C,49774,Grant Stutheit,20180121,ouro
FA4N5,70985,September Cappelluti,20171109,ouro
3718M,50049,Carmine Rodell,20170827,ouro
3F8N0,10319,Tama Mazy,20171021,ouro
48100,68693,Ammie Mossbarger,20170726,prata
K3XEZ,30558,Roxane Bua,20170710,regular
0Y6DA,67667,Araceli Roussin,20170304,ouro
XTE42,55662,Sarita Bartosh,20170524,ouro
P876D,97206,Elizebeth Torgersen,20180323,ouro
530Q6,53788,Dagny Mikez,20180218,regular
2303S,43058,Willie Mazzella,20170120,regular
I733Y,46526,Carolin Orellano,20180325,prata
AD2A5,17882,Shaun Smeal,20171020,regular
F83PZ,16232,Florencio Hodgman,20171128,ouro
1AE2H,10815,Adriane Pelligra,20170816,prata
TQU5U,46224,Jordan Gough,20180131,prata
06V71,50993,Travis Windly,20170812,ouro
7YL50,82468,Patricia Matskin,20180304,ouro
YD4W4,27287,Cecil Piraino,20170712,prata
7A4NF,98747,Aleen Bergmann,20170703,prata
J2033,51710,Hal Funchess,20180328,prata
344VM,13466,Armando Huie,20171002,regular
X377L,94492,Alicia Bernson,20170722,prata
RXP8M,48557,Cruz Ewings,20180111,prata
7OG72,98043,Cher Rivenbark,20180123,prata
66Z13,44386,Reinaldo Rhead,20170517,ouro
CZ1H8,68418,Roberto Spearmon,20170604,prata
7U8WH,64192,Bette Mayon,20170722,prata
5VE7U,66910,Jacqui Bonda,20171010,ouro
3DC24,10833,Queen Radigan,20180320,ouro
6LSTG,83186,Burton Grippe,20170214,ouro
551F6,24618,Lazaro Walterson,20180203,regular
MYQ6A,99462,Darren Yahraus,20170712,prata
J5IO8,44080,Amberly Somdah,20170902,ouro
TLF67,66160,Addie Tschirhart,20170521,regular
76W33,43768,Layne Burakowski,20180201,regular
QN47X,53753,Francisco Harcrow,20171214,regular
V5M14,79592,Dirk Malhi,20170626,regular
77Q7L,10325,Bruna Sumlin,20170604,prata
MZQ3U,72585,Mohammad Kotch,20171109,prata
72B16,36182,Tanner Faley,20170825,ouro
4K76L,19138,Kimbery Pedaci,20170925,regular
5VK83,84412,Olimpia Romanick,20170921,ouro
S702J,92540,Ladawn Boards,20170201,regular
X1IYH,35809,Tu Lipkovitch,20170608,ouro
2P828,38212,Hershel Alstrom,20170113,prata
QSD41,73130,Aurelio Schrage,20170203,regular
V14R0,83737,Hosea Kuzyk,20180423,ouro
20U07,21727,Alvin Fornes,20170815,prata
0EY7M,78357,Lisette Husain,20170227,prata
